Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.9922, 'grad_norm': 1.304994821548462, 'learning_rate': 1.999410493220672e-05, 'epoch': 0.0}
{'loss': 2.0826, 'grad_norm': 2.254795551300049, 'learning_rate': 1.9987554856880856e-05, 'epoch': 0.0}
{'loss': 1.9218, 'grad_norm': 1.630752444267273, 'learning_rate': 1.9981004781554988e-05, 'epoch': 0.0}
{'loss': 1.778, 'grad_norm': 1.5742508172988892, 'learning_rate': 1.9974454706229123e-05, 'epoch': 0.0}
{'loss': 1.8684, 'grad_norm': 2.2671058177948, 'learning_rate': 1.9967904630903258e-05, 'epoch': 0.0}
{'loss': 1.8457, 'grad_norm': 1.9314597845077515, 'learning_rate': 1.996135455557739e-05, 'epoch': 0.01}
{'loss': 1.7654, 'grad_norm': 1.9237816333770752, 'learning_rate': 1.9954804480251525e-05, 'epoch': 0.01}
{'loss': 1.6784, 'grad_norm': 2.427861452102661, 'learning_rate': 1.9948254404925657e-05, 'epoch': 0.01}
{'loss': 1.764, 'grad_norm': 2.755262851715088, 'learning_rate': 1.994170432959979e-05, 'epoch': 0.01}
{'loss': 1.6558, 'grad_norm': 2.1459462642669678, 'learning_rate': 1.9935154254273927e-05, 'epoch': 0.01}
{'loss': 1.5785, 'grad_norm': 2.034339666366577, 'learning_rate': 1.992860417894806e-05, 'epoch': 0.01}
{'loss': 1.5085, 'grad_norm': 2.5477867126464844, 'learning_rate': 1.9922054103622193e-05, 'epoch': 0.01}
{'loss': 1.5204, 'grad_norm': 2.288614511489868, 'learning_rate': 1.9915504028296325e-05, 'epoch': 0.01}
{'loss': 1.3738, 'grad_norm': 2.403323173522949, 'learning_rate': 1.990895395297046e-05, 'epoch': 0.01}
{'loss': 1.3491, 'grad_norm': 2.250884771347046, 'learning_rate': 1.9902403877644595e-05, 'epoch': 0.01}
{'loss': 1.3811, 'grad_norm': 2.3401243686676025, 'learning_rate': 1.9895853802318727e-05, 'epoch': 0.02}
{'loss': 1.2731, 'grad_norm': 2.7349085807800293, 'learning_rate': 1.9889303726992862e-05, 'epoch': 0.02}
{'loss': 1.35, 'grad_norm': 2.616915464401245, 'learning_rate': 1.9882753651666994e-05, 'epoch': 0.02}
{'loss': 1.384, 'grad_norm': 3.142878770828247, 'learning_rate': 1.987620357634113e-05, 'epoch': 0.02}
{'loss': 1.2581, 'grad_norm': 2.2928271293640137, 'learning_rate': 1.9869653501015264e-05, 'epoch': 0.02}
{'loss': 1.2101, 'grad_norm': 2.441016674041748, 'learning_rate': 1.9863103425689396e-05, 'epoch': 0.02}
{'loss': 1.2706, 'grad_norm': 1.8584716320037842, 'learning_rate': 1.985655335036353e-05, 'epoch': 0.02}
{'loss': 1.2513, 'grad_norm': 2.751340627670288, 'learning_rate': 1.9850003275037662e-05, 'epoch': 0.02}
{'loss': 1.2639, 'grad_norm': 2.752153158187866, 'learning_rate': 1.9843453199711797e-05, 'epoch': 0.02}
{'loss': 1.2767, 'grad_norm': 2.6664185523986816, 'learning_rate': 1.9836903124385932e-05, 'epoch': 0.02}
{'loss': 1.3588, 'grad_norm': 2.017184019088745, 'learning_rate': 1.9830353049060064e-05, 'epoch': 0.03}
{'loss': 1.2402, 'grad_norm': 2.6797666549682617, 'learning_rate': 1.98238029737342e-05, 'epoch': 0.03}
{'loss': 1.258, 'grad_norm': 2.2014973163604736, 'learning_rate': 1.981725289840833e-05, 'epoch': 0.03}
{'loss': 1.184, 'grad_norm': 2.270808696746826, 'learning_rate': 1.9810702823082466e-05, 'epoch': 0.03}
{'loss': 1.2112, 'grad_norm': 2.1459801197052, 'learning_rate': 1.98041527477566e-05, 'epoch': 0.03}
{'loss': 1.3161, 'grad_norm': 2.727344036102295, 'learning_rate': 1.9797602672430733e-05, 'epoch': 0.03}
{'loss': 1.188, 'grad_norm': 3.083527088165283, 'learning_rate': 1.9791052597104868e-05, 'epoch': 0.03}
{'loss': 1.1877, 'grad_norm': 2.201049327850342, 'learning_rate': 1.9784502521779e-05, 'epoch': 0.03}
{'loss': 1.121, 'grad_norm': 2.369281053543091, 'learning_rate': 1.9777952446453135e-05, 'epoch': 0.03}
{'loss': 1.2683, 'grad_norm': 2.8183352947235107, 'learning_rate': 1.977140237112727e-05, 'epoch': 0.03}
{'loss': 1.1526, 'grad_norm': 2.3140616416931152, 'learning_rate': 1.9764852295801405e-05, 'epoch': 0.04}
{'loss': 1.2412, 'grad_norm': 2.172530174255371, 'learning_rate': 1.975830222047554e-05, 'epoch': 0.04}
{'loss': 1.2204, 'grad_norm': 1.9191173315048218, 'learning_rate': 1.975175214514967e-05, 'epoch': 0.04}
{'loss': 1.1358, 'grad_norm': 2.8235738277435303, 'learning_rate': 1.9745202069823807e-05, 'epoch': 0.04}
{'loss': 1.2092, 'grad_norm': 2.0472280979156494, 'learning_rate': 1.9738651994497938e-05, 'epoch': 0.04}
{'loss': 1.285, 'grad_norm': 2.6073508262634277, 'learning_rate': 1.9732101919172073e-05, 'epoch': 0.04}
{'loss': 1.1522, 'grad_norm': 2.2538020610809326, 'learning_rate': 1.972555184384621e-05, 'epoch': 0.04}
{'loss': 1.1766, 'grad_norm': 2.2947075366973877, 'learning_rate': 1.971900176852034e-05, 'epoch': 0.04}
{'loss': 1.2248, 'grad_norm': 2.7054989337921143, 'learning_rate': 1.9712451693194475e-05, 'epoch': 0.04}
{'loss': 1.1688, 'grad_norm': 2.4605281352996826, 'learning_rate': 1.9705901617868607e-05, 'epoch': 0.04}
{'loss': 1.147, 'grad_norm': 3.1518588066101074, 'learning_rate': 1.9699351542542742e-05, 'epoch': 0.05}
{'loss': 1.2764, 'grad_norm': 2.244213581085205, 'learning_rate': 1.9692801467216877e-05, 'epoch': 0.05}
{'loss': 1.2541, 'grad_norm': 2.951427698135376, 'learning_rate': 1.968625139189101e-05, 'epoch': 0.05}
{'loss': 1.175, 'grad_norm': 2.3381221294403076, 'learning_rate': 1.9679701316565144e-05, 'epoch': 0.05}
{'loss': 1.2406, 'grad_norm': 2.899508237838745, 'learning_rate': 1.9673151241239275e-05, 'epoch': 0.05}
{'loss': 1.147, 'grad_norm': 2.5707178115844727, 'learning_rate': 1.966660116591341e-05, 'epoch': 0.05}
{'loss': 1.1899, 'grad_norm': 2.1562612056732178, 'learning_rate': 1.9660051090587546e-05, 'epoch': 0.05}
{'loss': 1.2712, 'grad_norm': 2.364642858505249, 'learning_rate': 1.9653501015261677e-05, 'epoch': 0.05}
{'loss': 1.0841, 'grad_norm': 3.769862174987793, 'learning_rate': 1.9646950939935812e-05, 'epoch': 0.05}
{'loss': 1.2069, 'grad_norm': 2.3564865589141846, 'learning_rate': 1.9640400864609944e-05, 'epoch': 0.05}
{'loss': 1.3142, 'grad_norm': 3.534433364868164, 'learning_rate': 1.963385078928408e-05, 'epoch': 0.06}
{'loss': 1.2081, 'grad_norm': 3.4578752517700195, 'learning_rate': 1.9627300713958214e-05, 'epoch': 0.06}
{'loss': 1.2926, 'grad_norm': 3.0901196002960205, 'learning_rate': 1.9620750638632346e-05, 'epoch': 0.06}
{'loss': 1.2163, 'grad_norm': 2.7615201473236084, 'learning_rate': 1.961420056330648e-05, 'epoch': 0.06}
{'loss': 1.3185, 'grad_norm': 3.212181329727173, 'learning_rate': 1.9607650487980613e-05, 'epoch': 0.06}
{'loss': 1.1269, 'grad_norm': 2.6510095596313477, 'learning_rate': 1.9601100412654748e-05, 'epoch': 0.06}
{'loss': 1.24, 'grad_norm': 2.233678102493286, 'learning_rate': 1.9594550337328883e-05, 'epoch': 0.06}
{'loss': 1.1489, 'grad_norm': 2.2868919372558594, 'learning_rate': 1.9588000262003014e-05, 'epoch': 0.06}
