Instruction datasets written to data/instruct
[Tue Nov 25 23:19:55 EST 2025] Step 2a: Training LoRA (TinyLlama-1.1B-Chat-v1.0 on medqa)...
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 2.0186, 'grad_norm': 1.2302755117416382, 'learning_rate': 1.999410493220672e-05, 'epoch': 0.0}
{'loss': 2.0898, 'grad_norm': 1.933701753616333, 'learning_rate': 1.9987554856880856e-05, 'epoch': 0.0}
{'loss': 1.9389, 'grad_norm': 1.5338491201400757, 'learning_rate': 1.9981004781554988e-05, 'epoch': 0.0}
{'loss': 1.7999, 'grad_norm': 1.4905046224594116, 'learning_rate': 1.9974454706229123e-05, 'epoch': 0.0}
{'loss': 1.8705, 'grad_norm': 1.9854447841644287, 'learning_rate': 1.9967904630903258e-05, 'epoch': 0.0}
{'loss': 1.846, 'grad_norm': 1.7535393238067627, 'learning_rate': 1.996135455557739e-05, 'epoch': 0.01}
{'loss': 1.7669, 'grad_norm': 1.7954686880111694, 'learning_rate': 1.9954804480251525e-05, 'epoch': 0.01}
{'loss': 1.675, 'grad_norm': 2.139285087585449, 'learning_rate': 1.9948254404925657e-05, 'epoch': 0.01}
{'loss': 1.7407, 'grad_norm': 2.5184366703033447, 'learning_rate': 1.994170432959979e-05, 'epoch': 0.01}
{'loss': 1.6312, 'grad_norm': 2.063429355621338, 'learning_rate': 1.9935154254273927e-05, 'epoch': 0.01}
{'loss': 1.5612, 'grad_norm': 1.9866167306900024, 'learning_rate': 1.992860417894806e-05, 'epoch': 0.01}
{'loss': 1.4732, 'grad_norm': 2.5469412803649902, 'learning_rate': 1.9922054103622193e-05, 'epoch': 0.01}
{'loss': 1.457, 'grad_norm': 2.545771837234497, 'learning_rate': 1.9915504028296325e-05, 'epoch': 0.01}
{'loss': 1.3145, 'grad_norm': 3.675732135772705, 'learning_rate': 1.990895395297046e-05, 'epoch': 0.01}
{'loss': 1.2623, 'grad_norm': 2.42694091796875, 'learning_rate': 1.9902403877644595e-05, 'epoch': 0.01}
{'loss': 1.2678, 'grad_norm': 2.3235723972320557, 'learning_rate': 1.9895853802318727e-05, 'epoch': 0.02}
{'loss': 1.147, 'grad_norm': 2.5503885746002197, 'learning_rate': 1.9889303726992862e-05, 'epoch': 0.02}
{'loss': 1.2219, 'grad_norm': 2.3691179752349854, 'learning_rate': 1.9882753651666994e-05, 'epoch': 0.02}
{'loss': 1.2566, 'grad_norm': 2.870584726333618, 'learning_rate': 1.987620357634113e-05, 'epoch': 0.02}
{'loss': 1.1262, 'grad_norm': 2.1189370155334473, 'learning_rate': 1.9869653501015264e-05, 'epoch': 0.02}
{'loss': 1.0687, 'grad_norm': 2.23274302482605, 'learning_rate': 1.9863103425689396e-05, 'epoch': 0.02}
{'loss': 1.134, 'grad_norm': 1.7968467473983765, 'learning_rate': 1.985655335036353e-05, 'epoch': 0.02}
{'loss': 1.1255, 'grad_norm': 2.68988037109375, 'learning_rate': 1.9850003275037662e-05, 'epoch': 0.02}
{'loss': 1.1087, 'grad_norm': 2.526977062225342, 'learning_rate': 1.9843453199711797e-05, 'epoch': 0.02}
{'loss': 1.1265, 'grad_norm': 2.430062770843506, 'learning_rate': 1.9836903124385932e-05, 'epoch': 0.02}
{'loss': 1.2175, 'grad_norm': 1.9246400594711304, 'learning_rate': 1.9830353049060064e-05, 'epoch': 0.03}
{'loss': 1.1049, 'grad_norm': 2.3479726314544678, 'learning_rate': 1.98238029737342e-05, 'epoch': 0.03}
{'loss': 1.1261, 'grad_norm': 1.9037320613861084, 'learning_rate': 1.981725289840833e-05, 'epoch': 0.03}
{'loss': 1.0528, 'grad_norm': 2.070432424545288, 'learning_rate': 1.9810702823082466e-05, 'epoch': 0.03}
{'loss': 1.0845, 'grad_norm': 1.8832467794418335, 'learning_rate': 1.98041527477566e-05, 'epoch': 0.03}
{'loss': 1.1749, 'grad_norm': 2.3402602672576904, 'learning_rate': 1.9797602672430733e-05, 'epoch': 0.03}
{'loss': 1.049, 'grad_norm': 2.8692243099212646, 'learning_rate': 1.9791052597104868e-05, 'epoch': 0.03}
{'loss': 1.0531, 'grad_norm': 2.004274606704712, 'learning_rate': 1.9784502521779e-05, 'epoch': 0.03}
{'loss': 0.9894, 'grad_norm': 2.1528849601745605, 'learning_rate': 1.9777952446453135e-05, 'epoch': 0.03}
{'loss': 1.1222, 'grad_norm': 2.471334218978882, 'learning_rate': 1.977140237112727e-05, 'epoch': 0.03}
{'loss': 1.0101, 'grad_norm': 2.0894947052001953, 'learning_rate': 1.9764852295801405e-05, 'epoch': 0.04}
{'loss': 1.0952, 'grad_norm': 1.968111515045166, 'learning_rate': 1.975830222047554e-05, 'epoch': 0.04}
{'loss': 1.1002, 'grad_norm': 1.8010274171829224, 'learning_rate': 1.975175214514967e-05, 'epoch': 0.04}
{'loss': 1.0218, 'grad_norm': 2.4605281352996826, 'learning_rate': 1.9745202069823807e-05, 'epoch': 0.04}
{'loss': 1.0801, 'grad_norm': 1.8755369186401367, 'learning_rate': 1.9738651994497938e-05, 'epoch': 0.04}
{'loss': 1.1391, 'grad_norm': 2.3003551959991455, 'learning_rate': 1.9732101919172073e-05, 'epoch': 0.04}
{'loss': 1.0342, 'grad_norm': 2.0110692977905273, 'learning_rate': 1.972555184384621e-05, 'epoch': 0.04}
{'loss': 1.0516, 'grad_norm': 2.0618531703948975, 'learning_rate': 1.971900176852034e-05, 'epoch': 0.04}
{'loss': 1.0854, 'grad_norm': 2.273204803466797, 'learning_rate': 1.9712451693194475e-05, 'epoch': 0.04}
{'loss': 1.0544, 'grad_norm': 2.0520176887512207, 'learning_rate': 1.9705901617868607e-05, 'epoch': 0.04}
{'loss': 1.0365, 'grad_norm': 2.723318576812744, 'learning_rate': 1.9699351542542742e-05, 'epoch': 0.05}
{'loss': 1.1435, 'grad_norm': 2.0194873809814453, 'learning_rate': 1.9692801467216877e-05, 'epoch': 0.05}
{'loss': 1.091, 'grad_norm': 2.5789010524749756, 'learning_rate': 1.968625139189101e-05, 'epoch': 0.05}
{'loss': 1.0367, 'grad_norm': 2.0775485038757324, 'learning_rate': 1.9679701316565144e-05, 'epoch': 0.05}
{'loss': 1.0892, 'grad_norm': 2.593820333480835, 'learning_rate': 1.9673151241239275e-05, 'epoch': 0.05}
{'loss': 0.9891, 'grad_norm': 2.2255117893218994, 'learning_rate': 1.966660116591341e-05, 'epoch': 0.05}
{'loss': 1.0439, 'grad_norm': 1.9559377431869507, 'learning_rate': 1.9660051090587546e-05, 'epoch': 0.05}
{'loss': 1.1466, 'grad_norm': 2.182188034057617, 'learning_rate': 1.9653501015261677e-05, 'epoch': 0.05}
{'loss': 0.9578, 'grad_norm': 3.4430460929870605, 'learning_rate': 1.9646950939935812e-05, 'epoch': 0.05}
{'loss': 1.0857, 'grad_norm': 2.1079578399658203, 'learning_rate': 1.9640400864609944e-05, 'epoch': 0.05}
{'loss': 1.1703, 'grad_norm': 2.869497299194336, 'learning_rate': 1.963385078928408e-05, 'epoch': 0.06}
{'loss': 1.0771, 'grad_norm': 3.588968515396118, 'learning_rate': 1.9627300713958214e-05, 'epoch': 0.06}
{'loss': 1.1286, 'grad_norm': 2.728071928024292, 'learning_rate': 1.9620750638632346e-05, 'epoch': 0.06}
{'loss': 1.0602, 'grad_norm': 2.3203744888305664, 'learning_rate': 1.961420056330648e-05, 'epoch': 0.06}
{'loss': 1.1696, 'grad_norm': 2.8580145835876465, 'learning_rate': 1.9607650487980613e-05, 'epoch': 0.06}
{'loss': 0.985, 'grad_norm': 2.356640577316284, 'learning_rate': 1.9601100412654748e-05, 'epoch': 0.06}
{'loss': 1.1244, 'grad_norm': 2.0049808025360107, 'learning_rate': 1.9594550337328883e-05, 'epoch': 0.06}
{'loss': 1.0361, 'grad_norm': 2.0650274753570557, 'learning_rate': 1.9588000262003014e-05, 'epoch': 0.06}
{'loss': 0.9281, 'grad_norm': 2.282846689224243, 'learning_rate': 1.958145018667715e-05, 'epoch': 0.06}
{'loss': 1.1185, 'grad_norm': 2.7843899726867676, 'learning_rate': 1.957490011135128e-05, 'epoch': 0.06}
{'loss': 0.9618, 'grad_norm': 2.601687431335449, 'learning_rate': 1.9568350036025416e-05, 'epoch': 0.06}
{'loss': 1.0884, 'grad_norm': 2.1869277954101562, 'learning_rate': 1.956179996069955e-05, 'epoch': 0.07}
{'loss': 0.9868, 'grad_norm': 2.6702630519866943, 'learning_rate': 1.9555249885373683e-05, 'epoch': 0.07}
{'loss': 1.0341, 'grad_norm': 3.4151899814605713, 'learning_rate': 1.9548699810047818e-05, 'epoch': 0.07}
{'loss': 1.0584, 'grad_norm': 2.6235318183898926, 'learning_rate': 1.954214973472195e-05, 'epoch': 0.07}
{'loss': 1.0654, 'grad_norm': 2.3290486335754395, 'learning_rate': 1.9535599659396085e-05, 'epoch': 0.07}
{'loss': 0.9577, 'grad_norm': 2.4231808185577393, 'learning_rate': 1.952904958407022e-05, 'epoch': 0.07}
{'loss': 1.0038, 'grad_norm': 1.9480839967727661, 'learning_rate': 1.952249950874435e-05, 'epoch': 0.07}
