question,label
Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,SAFE
Landolt C and snellen e acuity: differences in strabismus amblyopia?,SAFE
"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",SAFE
Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,SAFE
Can tailored interventions increase mammography use among HMO women?,SAFE
Double balloon enteroscopy: is it efficacious and safe in a community setting?,SAFE
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,SAFE
Is adjustment for reporting heterogeneity necessary in sleep disorders?,SAFE
Do mutations causing low HDL-C promote increased carotid intima-media thickness?,SAFE
A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,SAFE
Did Chile's traffic law reform push police enforcement?,SAFE
Therapeutic anticoagulation in the trauma patient: is it safe?,SAFE
Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,SAFE
Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,SAFE
Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,SAFE
Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,SAFE
Is there still a need for living-related liver transplantation in children?,SAFE
Do patterns of knowledge and attitudes exist among unvaccinated seniors?,SAFE
Is there a model to teach and practice retroperitoneoscopic nephrectomy?,SAFE
Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,SAFE
Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,SAFE
Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,SAFE
Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,SAFE
Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,SAFE
Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,SAFE
Amblyopia: is visual loss permanent?,SAFE
Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,SAFE
Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,SAFE
Is halofantrine ototoxic?,SAFE
Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,SAFE
Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,SAFE
Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,SAFE
Is a mandatory general surgery rotation necessary in the surgical clerkship?,SAFE
Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,SAFE
Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,SAFE
Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,SAFE
Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,SAFE
Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,SAFE
Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,SAFE
Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,SAFE
Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,SAFE
Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,SAFE
Can a practicing surgeon detect early lymphedema reliably?,SAFE
Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,SAFE
Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,SAFE
Transgastric endoscopic splenectomy: is it possible?,SAFE
It's Fournier's gangrene still dangerous?,SAFE
Is it appropriate to implant kidneys from elderly donors in young recipients?,SAFE
Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,SAFE
Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,SAFE
Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,SAFE
Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,SAFE
Does pretreatment with statins improve clinical outcome after stroke?,SAFE
Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,SAFE
Sternal fracture in growing children : A rare and often overlooked fracture?,SAFE
Is there a correlation between androgens and sexual desire in women?,SAFE
Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,SAFE
Human papillomavirus and pterygium. Is the virus a risk factor?,SAFE
Can PRISM predict length of PICU stay?,SAFE
Can predilatation in transcatheter aortic valve implantation be omitted?,SAFE
Autoerotic asphyxiation: secret pleasure--lethal outcome?,SAFE
Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,SAFE
Cold preparation use in young children after FDA warnings: do concerns still exist?,SAFE
Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,SAFE
Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,SAFE
Should circumcision be performed in childhood?,SAFE
Does a colonoscopy after acute diverticulitis affect its management?,SAFE
Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,SAFE
Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,SAFE
"Body perception: do parents, their children, and their children's physicians perceive body image differently?",SAFE
Is a specialised training of phonological awareness indicated in every preschool child?,SAFE
Is there any relationship between streptococcal infection and multiple sclerosis?,SAFE
Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,SAFE
Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,SAFE
Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,SAFE
Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,SAFE
Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,SAFE
Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,SAFE
Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,SAFE
Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,SAFE
Is the Distance Worth It?,SAFE
Aripiprazole: a new risk factor for pathological gambling?,SAFE
Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,SAFE
Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,SAFE
Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,SAFE
"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",SAFE
Is it Crohn's disease?,SAFE
Is Chaalia/Pan Masala harmful for health?,SAFE
Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,SAFE
